,Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
0,1503960366,2016-04-12,1,327,346
1,1503960366,2016-04-13,2,384,407
2,1503960366,2016-04-15,1,412,442
3,1503960366,2016-04-16,2,340,367
4,1503960366,2016-04-17,1,700,712
5,1503960366,2016-04-19,1,304,320
6,1503960366,2016-04-20,1,360,377
7,1503960366,2016-04-21,1,325,364
8,1503960366,2016-04-23,1,361,384
9,1503960366,2016-04-24,1,430,449
10,1503960366,2016-04-25,1,277,323
11,1503960366,2016-04-26,1,245,274
12,1503960366,2016-04-28,1,366,393
13,1503960366,2016-04-29,1,341,354
14,1503960366,2016-04-30,1,404,425
15,1503960366,2016-05-01,1,369,396
16,1503960366,2016-05-02,1,277,309
17,1503960366,2016-05-03,1,273,296
18,1503960366,2016-05-05,1,247,264
19,1503960366,2016-05-06,1,334,367
20,1503960366,2016-05-07,1,331,349
21,1503960366,2016-05-08,1,594,611
22,1503960366,2016-05-09,1,338,342
23,1503960366,2016-05-10,1,383,403
24,1503960366,2016-05-11,1,285,306
25,1644430081,2016-04-29,1,119,127
26,1644430081,2016-04-30,1,124,142
27,1644430081,2016-05-02,1,796,961
28,1644430081,2016-05-08,1,137,154
29,1844505072,2016-04-15,1,644,961
30,1844505072,2016-04-30,1,722,961
31,1844505072,2016-05-01,1,590,961
32,1927972279,2016-04-12,3,750,775
33,1927972279,2016-04-13,1,398,422
34,1927972279,2016-04-15,2,475,499
35,1927972279,2016-04-26,1,296,315
36,1927972279,2016-04-28,1,166,178
37,2026352035,2016-04-12,1,503,546
38,2026352035,2016-04-13,1,531,565
39,2026352035,2016-04-14,1,545,568
40,2026352035,2016-04-15,1,523,573
41,2026352035,2016-04-16,1,524,567
42,2026352035,2016-04-17,1,437,498
43,2026352035,2016-04-19,1,498,540
44,2026352035,2016-04-20,1,461,510
45,2026352035,2016-04-21,1,477,514
46,2026352035,2016-04-22,1,520,545
47,2026352035,2016-04-23,1,522,554
48,2026352035,2016-04-24,1,555,591
49,2026352035,2016-04-25,1,506,531
50,2026352035,2016-04-27,1,508,545
51,2026352035,2016-04-28,1,513,545
52,2026352035,2016-04-29,1,490,510
53,2026352035,2016-04-30,1,573,607
54,2026352035,2016-05-01,1,527,546
55,2026352035,2016-05-02,1,511,543
56,2026352035,2016-05-04,1,538,560
57,2026352035,2016-05-05,1,468,485
58,2026352035,2016-05-06,1,524,548
59,2026352035,2016-05-07,1,511,521
60,2026352035,2016-05-08,1,541,568
61,2026352035,2016-05-09,1,531,556
62,2026352035,2016-05-10,1,357,380
63,2026352035,2016-05-11,1,523,553
64,2026352035,2016-05-12,1,456,485
65,2320127002,2016-04-23,1,61,69
66,2347167796,2016-04-13,1,467,531
67,2347167796,2016-04-14,1,445,489
68,2347167796,2016-04-15,1,452,504
69,2347167796,2016-04-17,1,556,602
70,2347167796,2016-04-18,1,500,557
71,2347167796,2016-04-19,1,465,514
72,2347167796,2016-04-21,1,460,484
73,2347167796,2016-04-22,1,405,461
74,2347167796,2016-04-23,1,374,386
75,2347167796,2016-04-24,1,442,459
76,2347167796,2016-04-25,1,433,471
77,2347167796,2016-04-26,1,436,490
78,2347167796,2016-04-27,1,448,499
79,2347167796,2016-04-28,1,408,450
80,2347167796,2016-04-29,1,411,473
81,3977333714,2016-04-12,1,274,469
82,3977333714,2016-04-13,2,295,456
83,3977333714,2016-04-14,1,291,397
84,3977333714,2016-04-15,1,424,556
85,3977333714,2016-04-16,1,283,510
86,3977333714,2016-04-17,1,381,566
87,3977333714,2016-04-18,2,412,522
88,3977333714,2016-04-19,1,219,395
89,3977333714,2016-04-20,2,152,305
90,3977333714,2016-04-21,1,332,512
91,3977333714,2016-04-22,1,355,476
92,3977333714,2016-04-23,1,235,372
93,3977333714,2016-04-24,1,310,526
94,3977333714,2016-04-25,1,262,467
95,3977333714,2016-04-26,1,250,371
96,3977333714,2016-04-27,1,349,540
97,3977333714,2016-04-28,1,261,423
98,3977333714,2016-04-29,1,333,478
99,3977333714,2016-04-30,1,237,382
100,3977333714,2016-05-01,1,383,626
101,3977333714,2016-05-02,1,230,384
102,3977333714,2016-05-03,1,292,500
103,3977333714,2016-05-04,1,213,336
104,3977333714,2016-05-05,1,318,480
105,3977333714,2016-05-06,1,323,512
106,3977333714,2016-05-07,1,237,443
107,3977333714,2016-05-08,2,259,456
108,3977333714,2016-05-10,1,312,452
109,4020332650,2016-04-12,1,501,541
110,4020332650,2016-04-16,1,77,77
111,4020332650,2016-05-03,1,322,332
112,4020332650,2016-05-04,1,478,536
113,4020332650,2016-05-05,1,226,248
114,4020332650,2016-05-06,1,385,408
115,4020332650,2016-05-08,1,364,402
116,4020332650,2016-05-10,1,442,494
117,4319703577,2016-04-14,1,535,557
118,4319703577,2016-04-15,1,465,491
119,4319703577,2016-04-16,1,506,522
120,4319703577,2016-04-18,1,515,551
121,4319703577,2016-04-19,2,461,498
122,4319703577,2016-04-20,1,523,543
123,4319703577,2016-04-21,1,59,65
124,4319703577,2016-04-22,1,533,550
125,4319703577,2016-04-23,1,692,722
126,4319703577,2016-04-24,1,467,501
127,4319703577,2016-04-25,1,488,506
128,4319703577,2016-04-26,1,505,516
129,4319703577,2016-04-27,1,286,307
130,4319703577,2016-04-28,1,497,522
131,4319703577,2016-04-29,1,523,546
132,4319703577,2016-04-30,1,490,516
133,4319703577,2016-05-01,1,484,500
134,4319703577,2016-05-02,1,478,506
135,4319703577,2016-05-03,1,474,512
136,4319703577,2016-05-06,1,450,491
137,4319703577,2016-05-07,1,507,530
138,4319703577,2016-05-08,1,602,638
139,4319703577,2016-05-09,1,535,565
140,4319703577,2016-05-10,1,487,517
141,4319703577,2016-05-11,1,529,558
142,4319703577,2016-05-12,1,302,321
143,4388161847,2016-04-15,1,499,526
144,4388161847,2016-04-16,2,426,448
